? komaeda_nagito 5.0k	
? asuna_(bunny)_(blue_archive) 5.0k	
? watanabe_you 5.0k	
? trailblazer_(honkai:_star_rail) 5.0k	
? shiranui_(kancolle) 5.0k	
? medusa_(fate) 4.9k	
? byleth_(female)_(fire_emblem) 4.9k	
? inugami_korone 4.9k	
? futatsuiwa_mamizou 4.9k
? skadi_(arknights) 4.9k	
? okita_souji_(koha-ace) 4.9k	
? yoko_littner 4.9k	
? souryuu_(kancolle) 4.9k	
? sazanami_(kancolle) 4.9k	
? amane_kanata 4.9k	
? oozora_subaru 4.9k	
? karin_(blue_archive) 4.8k	
? taihou_(azur_lane) 4.8k	
? d.va_(overwatch) 4.8k	
? ookami_mio 4.8k	
? nero_claudius_(fate/extra) 4.8k	
? akiyama_yukari 4.8k	
? aki_shizuha 4.8k	
? samidare_(kancolle) 4.8k	
? nami_(one_piece) 4.8k	
? shijou_takane 4.8k	
? senketsu 4.7k	
? yamashiro_(kancolle) 4.7k	
? letty_whiterock 4.7k
? ash_ketchum 4.7k	
? mordred_(fate/apocrypha) 4.7k	
? kosaka_honoka 4.7k	
? boo_tao_(genshin_impact) 4.7k	
? oyama_mahiro 4.7k	
? bb_(fate) 4.7k	
? hiei_(kancolle) 4.6k	
? suigintou 4.6k	
? gumi 4.6k	
? morrigan_aensland 4.6k	
? hecatia_lapislazuli 4.6k	
? agnes_tachyon_(umamusume) 4.6k	
? kiryuuin_satsuki 4.6k	
? xiao_(genshin_impact) 4.6k	
? wo-class_aircraft_carrier 4.6k	
? houshou_marine_(1st_costume) 4.6k	
? ro-500_(kancolle) 4.6k	
? yumemi_riamu 4.6k	
? shirasaka_koume 4.6k	
? kasumi_(kancolle) 4.6k
? iowa_(kancolle) 4.6k	
? suletta_mercury 4.6k	
? kisaragi_chihaya 4.5k	
? saihara_shuichi 4.5k	
? kikuchi_makoto 4.5k	
? sakamata_chloe 4.5k	
? cynthia_(pokemon) 4.5k	
? aqua_(konosuba) 4.5k	
? oshino_shinobu 4.5k	
? anya_(spy_x_family) 4.5k	
? minase_iori 4.5k	
? tokai_teio_(umamusume) 4.5k	
? verniy_(kancolle) 4.5k	
? red_(pokemon) 4.5k	
? bremerton_(azur_lane) 4.5k	
? kirishima_(kancolle) 4.5k	
? hinata_hajime 4.4k	
? atago_(azur_lane) 4.4k	
? shishiro_botan 4.4k	
? yukihana_lamy 4.4k
? son_goku 4.4k	
? hoshizora_rin 4.4k	
? higuchi_madoka 4.4k	
? cammy_white 4.4k	
? shimamura_uzuki 4.4k	
? midoriya_izuku 4.4k	
? saber_alter 4.3k	
? power_(chainsaw_man) 4.3k	
? uruha_rushia 4.3k	
? prinz_eugen_(azur_lane) 4.3k	
? formidable_(azur_lane) 4.3k	
? ex-keine 4.3k	
? meltryllis_(fate) 4.3k	
? inoue_takina 4.2k	
? jeanne_d'arc_(ruler)_(fate) 4.2k	
? takagaki_kaede 4.2k	
? yuubari_(kancolle) 4.2k	
? kita_ikuyo 4.2k	
? ganaha_hibiki 4.2k	
? sagisawa_fumika 4.2k
? mari_(blue_archive) 4.1k	
? fern_(sousou_no_frieren) 4.1k	
? karyl_(princess_connect!) 4.1k	
? kiso_(kancolle) 4.1k	
? djeeta_(granblue_fantasy) 4.1k	
? zero_two_(darling_in_the_franxx) 4.1k	
? wakasagihime 4.1k	
? hiryuu_(kancolle) 4.1k	
? asahina_mikuru 4.1k	
? miyamoto_musashi_(fate) 4.1k	
? ikari_shinji 4.1k	
? ultimate_madoka 4.0k	
? serena_(pokemon) 4.0k	
? kitagawa_marin 4.0k	
? kishin_sagume 4.0k	
? arona_(blue_archive) 4.0k	
? aru_(blue_archive) 4.0k	
? mario 4.0k	
? lucina_(fire_emblem) 4.0k	
? graf_zeppelin_(kancolle) 3.9k
? selene_(pokemon) 3.9k	
? ereshkigal_(fate) 3.9k	
? miorine_rembran 3.9k	
? medusa_(rider)_(fate) 3.9k	
? corrin_(fire_emblem) 3.9k	
? kayoko_(blue_archive) 3.9k	
? rio_(blue_archive) 3.9k	
? murasaki_shion 3.9k	
? ishtar_(fate) 3.9k	
? lappland_(arknights) 3.9k	
? la+_darknesss 3.9k	
? lily_white 3.9k	
? toki_(bunny)_(blue_archive) 3.9k	
? kuroki_tomoko 3.9k	
? koizumi_hanayo 3.8k	
? jougasaki_mika 3.8k	
? hanako_(blue_archive) 3.8k	
? nilou_(genshin_impact) 3.8k	
? takatsuki_yayoi 3.8k	
? uraraka_ochako 3.8k
? usada_pekora_(1st_costume) 3.8k	
? belfast_(azur_lane) 3.8k	
? kafka_(honkai:_star_rail) 3.8k	
? ako_(blue_archive) 3.8k	
? kazusa_(blue_archive) 3.8k	
? sirius_(azur_lane) 3.8k	
? eevee 3.8k	
? ahri_(league_of_legends) 3.8k	
? hestia_(danmachi) 3.7k	
? hakos_baelz 3.7k	
? kyon 3.7k	
? denji_(chainsaw_man) 3.7k	
? kiryu_coco 3.7k	
? bowsette 3.7k	
? sailor_moon 3.7k	
? tsushima_yoshiko 3.7k	
? kanzaki_ranko 3.7k	
? haruno_sakura 3.7k	
? nakiri_ayame 3.7k	
? black_rock_shooter_(character) 3.7k
? mirko 3.7k	
? furude_rika 3.7k	
? kiana_kaslana 3.7k	
? yelan_(genshin_impact) 3.7k	
? ijichi_nijika 3.7k	
? takebe_saori 3.7k	
? naka_(kancolle) 3.7k	
? fu_hua 3.7k	
? kisaki_(blue_archive) 3.7k	
? shiranui_flare 3.6k	
? stocking_(psg) 3.6k	
? silence_suzuka_(umamusume) 3.6k	
? narukami_yuu 3.6k	
? takarada_rikka 3.6k	
? commander_(azur_lane) 3.6k	
? zuihou_(kancolle) 3.6k	
? kisume 3.6k	
? manhattan_cafe_(umamusume) 3.6k	
? cu_chulainn_(fate/stay_night) 3.6k	
? naganami_(kancolle) 3.5k
? fischl_(genshin_impact) 3.5k	
? fairy_(kancolle) 3.5k	
? edelgard_von_hresvelg 3.5k	
? super_sonico 3.5k	
? tachibana_arisu 3.5k	
? ichinose_shiki 3.5k	
? kakyoin_noriaki 3.5k	
? misty_(pokemon) 3.5k	
? monster_hunter_(character) 3.5k	
? seaport_princess 3.5k	
? plana_(blue_archive) 3.5k	
? gojou_satoru 3.5k	
? sakurauchi_riko 3.5k	
? i-19_(kancolle) 3.5k	
? nitta_minami 3.5k	
? octoling_player_character 3.5k	
? ceres_fauna 3.5k	
? gokou_ruri 3.4k	
? monkey_d._luffy 3.4k	
? kujo_jolyne 3.4k
? sangonomiya_kokomi 3.4k	
? barbara_(genshin_impact) 3.4k	
? suzuran_(arknights) 3.4k	
? unicorn_(azur_lane) 3.4k	
? giorno_giovanna 3.4k	
? momoi_(blue_archive) 3.4k	
? medicine_melancholy 3.4k	
? murasame_(kancolle) 3.4k	
? kokkoro_(princess_connect!) 3.4k	
? doremy_sweet 3.4k	
? chloe_von_einzbern 3.4k	
? jean_(genshin_impact) 3.4k	
? natsuiro_matsuri 3.4k	
? stelle_(honkai:_star_rail) 3.4k	
? ch'en_(arknights) 3.4k	
? lunasa_prismriver 3.3k	
? uzumaki_naruto 3.3k	
? sanya_v._litvyak 3.3k	
? yamakaze_(kancolle) 3.3k	
? barnaby_brooks_jr. 3.3k
? ump45_(girls'_frontline) 3.3k	
? bakugou_katsuki 3.3k	
